gene_name	gene_id	protein_id	transcript_count	dmr_transcript_count	dmr_count	dmr_A_count	dmr_C_count	dmr_G_count	dmr_U_count	gene_level_ont_C3	gene_level_ont_C4	ont_gene_log2FC_C4vsC3	ont_gene_pval	ont_gene_qval	protein_level_C3	protein_level_C4	protein_log2FC_C4vsC3	protein_pval	protein_qval	median_transcript_len
ACSL4	ENSG00000068366	O60488	5	2	3	2	0	0	1	7.70614744527488	7.775985141585006	0.0792228115439686	0.7765395740413523	0.9990269081233384	14.039961926476053	14.482227695721974	0.50013468331755	3.32016616393145e-18	2.32247672652291e-16	5172.0
ACLY	ENSG00000131473	P53396	5	1	3	0	1	0	2	7.749579454859923	8.095267979912784	0.3579851399829267	0.2567446474891826	0.9424824742408894	17.14428376404988	17.073497083129315	-0.0717705926967295	0.984407185859015	1.0	4293.0
HSD11B1	ENSG00000117594	P28845	3	1	3	0	2	0	1	8.407779699513558	8.944219853187173	0.5245992326675287	0.0215693807909976	0.3297959852270817	11.275612620177306	13.80875261773856	2.92443889678318	8.98100146593382e-12	3.32590551019484e-10	1384.0
EIF2AK1	ENSG00000086232	Q9BQI3	1	1	3	0	2	0	1	3.2010323057675523	2.604881529118418	-0.698629646846032	0.409642794354581	1.0	0.0	0.0	0.0	1.0	1.0	905.0
CETN2	ENSG00000147400	P41208	1	2	3	0	2	0	1	2.0343126681909904	2.3744001868554574				14.240722751110017	14.605189322420252	0.330555546989948	0.202666104639485	0.482714636689383	1413.0
BCKDK	ENSG00000103507	O14874	2	2	3	0	3	0	0	6.389669267515315	6.866310632924249	0.4873414881709363	0.1202797913373022	0.7606357654609962	11.17182301066084	11.958270843506211	1.39974538965623	0.0336391559700299	0.125422674143288	2080.5
EIF3C	ENSG00000184110	Q99613	5	3	3	1	0	2	0	8.012339380612266	8.108974126600387	0.0758231701519109	0.7542667110773897	0.9990269081233384	15.276792078336475	15.259412268710385	-0.0118162982109318	0.999999999925877	1.0	2910.0
AHNAK	ENSG00000124942	Q09666	2	1	3	0	1	1	1	6.523030455907663	7.177064810603358	0.6197977469800261	0.0591699043344825	0.5352706017594305	17.12050300716435	16.884550152874276	-0.233925110200913	6.22364667546925e-35	1.35627623320034e-32	9892.5
ETF1	ENSG00000120705	P62495	3	1	3	2	0	0	1	7.34569282486008	7.45346460580333	0.1152616651423716	0.6693361613552034	0.9990269081233384	15.45913486554773	15.65337826859292	0.227818287686634	0.00897574320496951	0.0433559769815492	3682.0
EMILIN1	ENSG00000138080	Q9Y6C2	1	1	3	0	1	2	0	7.825810398827841	6.9348233628127005	-0.922318348622558	0.3912244843857356	0.9990269081233384	13.631027770464897	13.249023302979245	-0.43797588885945	0.000417769417710059	0.00324702540568614	3890.0
STAT1	ENSG00000115415	P42224	6	1	3	1	1	0	1	6.652633256953073	6.521316586866094	-0.1416250160286787	0.6309476262160705	0.9990269081233384	15.319330599325252	15.138821106752914	-0.176434782733279	0.000147891460668657	0.00130522276658662	3931.0
